name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,species
Watto,137,NA,black,blue, grey,yellow,NA,male,Toydaria,Toydarian
Sebulba,112,40,none,grey, red,orange,NA,male,Malastare,Dug
Quarsh Panaka,183,NA,black,dark,brown,62,male,Naboo,NA
Shmi Skywalker,163,NA,black,fair,brown,72,female,Tatooine,Human
Darth Maul,175,80,none,red,yellow,54,male,Dathomir,Zabrak
Bib Fortuna,180,NA,none,pale,pink,NA,male,Ryloth,Twi'lek
Ayla Secura,178,55,none,blue,hazel,48,female,Ryloth,Twi'lek
Dud Bolt,94,45,none,blue, grey,yellow,NA,male,Vulpter,Vulptereen
Gasgano,122,NA,none,white, blue,black,NA,male,Troiken,Xexto
Ben Quadinaros,163,65,none,grey, green, yellow,orange,NA,male,Tund,Toong
Mace Windu,188,84,none,dark,brown,72,male,Haruun Kal,Human
Ki-Adi-Mundi,198,82,white,pale,yellow,92,male,Cerea,Cerean
Kit Fisto,196,87,none,green,black,NA,male,Glee Anselm,Nautolan
Eeth Koth,171,NA,black,brown,brown,NA,male,Iridonia,Zabrak
Adi Gallia,184,50,none,dark,blue,NA,female,Coruscant,Tholothian
Saesee Tiin,188,NA,none,pale,orange,NA,male,Iktotch,Iktotchi
Yarael Poof,264,NA,none,white,yellow,NA,male,Quermia,Quermian
Plo Koon,188,80,none,orange,black,22,male,Dorin,Kel Dor
Mas Amedda,196,NA,none,blue,blue,NA,male,Champala,Chagrian
Gregar Typho,185,85,black,dark,brown,NA,male,Naboo,Human
Cordé,157,NA,brown,light,brown,NA,female,Naboo,Human
Cliegg Lars,183,NA,brown,fair,blue,82,male,Tatooine,Human
Poggle the Lesser,183,80,none,green,yellow,NA,male,Geonosis,Geonosian
Luminara Unduli,170,56.2,black,yellow,blue,58,female,Mirial,Mirialan
Barriss Offee,166,50,black,yellow,blue,40,female,Mirial,Mirialan
Dormé,165,NA,brown,light,brown,NA,female,Naboo,Human
Dooku,193,80,white,fair,brown,102,male,Serenno,Human
Bail Prestor Organa,191,NA,black,tan,brown,67,male,Alderaan,Human
Jango Fett,183,79,black,tan,brown,66,male,Concord Dawn,Human
Zam Wesell,168,55,blonde,fair, green, yellow,yellow,NA,female,Zolan,Clawdite
Dexter Jettster,198,102,none,brown,yellow,NA,male,Ojom,Besalisk
Lama Su,229,88,none,grey,black,NA,male,Kamino,Kaminoan
Taun We,213,NA,none,grey,black,NA,female,Kamino,Kaminoan
Jocasta Nu,167,NA,white,fair,blue,NA,female,Coruscant,Human
Ratts Tyerell,79,15,none,grey, blue,unknown,NA,male,Aleen Minor,Aleena
R4-P17,96,NA,none,silver, red,red, blue,NA,female,NA,NA
Wat Tambor,193,48,none,green, grey,unknown,NA,male,Skako,Skakoan
San Hill,191,NA,none,grey,gold,NA,male,Muunilinst,Muun
Shaak Ti,178,57,none,red, blue, white,black,NA,female,Shili,Togruta
Grievous,216,159,none,brown, white,green, yellow,NA,male,Kalee,Kaleesh
Tarfful,234,136,brown,brown,blue,NA,male,Kashyyyk,Wookiee
Raymus Antilles,188,79,brown,light,brown,NA,male,Alderaan,Human
Sly Moore,178,48,none,pale,white,NA,female,Umbara,NA
Tion Medon,206,80,none,grey,black,NA,male,Utapau,Pau'an
Finn,NA,NA,black,dark,dark,NA,male,NA,Human
Rey,NA,NA,brown,light,hazel,NA,female,NA,Human
Poe Dameron,NA,NA,brown,light,brown,NA,male,NA,Human
BB8,NA,NA,none,none,black,NA,none,NA,Droid
Captain Phasma,NA,NA,unknown,unknown,unknown,NA,female,NA,NA
Padmé Amidala,165,45,brown,light,brown,46,female,Naboo,Human
