"record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","genus","species","taxa","plot_type"
20466,10,18,1992,2,"NL","F","33","135","Neotoma","albigula","Rodent","Control"
20992,7,14,1993,2,"NL","M","32","78","Neotoma","albigula","Rodent","Control"
21113,9,16,1993,2,"NL","M","","","Neotoma","albigula","Rodent","Control"
21120,9,16,1993,2,"NL","M","37","138","Neotoma","albigula","Rodent","Control"
21161,10,15,1993,2,"NL","M","32","148","Neotoma","albigula","Rodent","Control"
21232,11,13,1993,2,"NL","M","35","154","Neotoma","albigula","Rodent","Control"
21235,11,13,1993,2,"NL","M","34","160","Neotoma","albigula","Rodent","Control"
21286,12,14,1993,2,"NL","M","32","153","Neotoma","albigula","Rodent","Control"
21507,4,10,1994,2,"NL","M","","180","Neotoma","albigula","Rodent","Control"
21558,5,18,1994,2,"NL","M","35","","Neotoma","albigula","Rodent","Control"
22314,6,7,1995,2,"NL","M","34","","Neotoma","albigula","Rodent","Control"
22728,9,23,1995,2,"NL","F","32","165","Neotoma","albigula","Rodent","Control"
22899,10,28,1995,2,"NL","F","32","171","Neotoma","albigula","Rodent","Control"
23032,12,2,1995,2,"NL","F","33","","Neotoma","albigula","Rodent","Control"
24589,10,12,1996,2,"NL","M","33","127","Neotoma","albigula","Rodent","Control"
24690,11,16,1996,2,"NL","F","33","130","Neotoma","albigula","Rodent","Control"
24703,11,16,1996,2,"NL","M","33","148","Neotoma","albigula","Rodent","Control"
25247,3,15,1997,2,"NL","M","34","147","Neotoma","albigula","Rodent","Control"
25701,5,10,1997,2,"NL","F","32","144","Neotoma","albigula","Rodent","Control"
26028,6,9,1997,2,"NL","M","34","193","Neotoma","albigula","Rodent","Control"
26644,7,29,1997,2,"NL","F","30","178","Neotoma","albigula","Rodent","Control"
26827,9,27,1997,2,"NL","F","33","138","Neotoma","albigula","Rodent","Control"
26857,9,27,1997,2,"NL","F","33","174","Neotoma","albigula","Rodent","Control"
27042,10,25,1997,2,"NL","F","34","186","Neotoma","albigula","Rodent","Control"
27326,12,28,1997,2,"NL","F","33","181","Neotoma","albigula","Rodent","Control"
27734,3,29,1998,2,"NL","F","33","188","Neotoma","albigula","Rodent","Control"
27781,5,2,1998,2,"NL","","","200","Neotoma","albigula","Rodent","Control"
27860,5,28,1998,2,"NL","F","33","190","Neotoma","albigula","Rodent","Control"
27897,5,28,1998,2,"NL","M","21","110","Neotoma","albigula","Rodent","Control"
27919,5,28,1998,2,"NL","F","34","158","Neotoma","albigula","Rodent","Control"
28022,6,27,1998,2,"NL","F","31","182","Neotoma","albigula","Rodent","Control"
28077,6,27,1998,2,"NL","M","30","132","Neotoma","albigula","Rodent","Control"
28328,8,22,1998,2,"NL","F","30","143","Neotoma","albigula","Rodent","Control"
28551,9,20,1998,2,"NL","M","31","178","Neotoma","albigula","Rodent","Control"
28556,9,20,1998,2,"NL","M","30","149","Neotoma","albigula","Rodent","Control"
28662,10,24,1998,2,"NL","M","34","168","Neotoma","albigula","Rodent","Control"
28928,12,22,1998,2,"NL","F","31","165","Neotoma","albigula","Rodent","Control"
29039,1,16,1999,2,"NL","F","34","162","Neotoma","albigula","Rodent","Control"
29310,3,14,1999,2,"NL","F","32","153","Neotoma","albigula","Rodent","Control"
29435,4,17,1999,2,"NL","M","34","220","Neotoma","albigula","Rodent","Control"
29572,5,15,1999,2,"NL","F","33","154","Neotoma","albigula","Rodent","Control"
29823,9,11,1999,2,"NL","F","33","200","Neotoma","albigula","Rodent","Control"
29865,10,9,1999,2,"NL","F","32","194","Neotoma","albigula","Rodent","Control"
29950,11,6,1999,2,"NL","F","33","195","Neotoma","albigula","Rodent","Control"
30066,12,5,1999,2,"NL","F","33","131","Neotoma","albigula","Rodent","Control"
30067,12,5,1999,2,"NL","","","194","Neotoma","albigula","Rodent","Control"
30172,1,8,2000,2,"NL","F","30","137","Neotoma","albigula","Rodent","Control"
30174,1,8,2000,2,"NL","F","33","181","Neotoma","albigula","Rodent","Control"
30175,1,8,2000,2,"NL","M","34","265","Neotoma","albigula","Rodent","Control"
30307,2,5,2000,2,"NL","F","33","185","Neotoma","albigula","Rodent","Control"
30308,2,5,2000,2,"NL","F","31","144","Neotoma","albigula","Rodent","Control"
30309,2,5,2000,2,"NL","","","183","Neotoma","albigula","Rodent","Control"
30443,3,4,2000,2,"NL","M","33","184","Neotoma","albigula","Rodent","Control"
30741,6,3,2000,2,"NL","F","33","158","Neotoma","albigula","Rodent","Control"
31516,11,25,2000,2,"NL","F","29","200","Neotoma","albigula","Rodent","Control"
31517,11,25,2000,2,"NL","M","32","228","Neotoma","albigula","Rodent","Control"
31633,12,22,2000,2,"NL","F","31","173","Neotoma","albigula","Rodent","Control"
31717,1,21,2001,2,"NL","M","33","121","Neotoma","albigula","Rodent","Control"
31721,1,21,2001,2,"NL","F","31","158","Neotoma","albigula","Rodent","Control"
31862,3,24,2001,2,"NL","F","32","252","Neotoma","albigula","Rodent","Control"
31946,4,21,2001,2,"NL","F","33","145","Neotoma","albigula","Rodent","Control"
32045,5,26,2001,2,"NL","M","32","135","Neotoma","albigula","Rodent","Control"
32167,6,25,2001,2,"NL","F","30","173","Neotoma","albigula","Rodent","Control"
32391,8,25,2001,2,"NL","F","33","193","Neotoma","albigula","Rodent","Control"
32817,10,13,2001,2,"NL","F","29","72","Neotoma","albigula","Rodent","Control"
33040,11,17,2001,2,"NL","F","31","119","Neotoma","albigula","Rodent","Control"
33041,11,17,2001,2,"NL","F","33","213","Neotoma","albigula","Rodent","Control"
33237,12,15,2001,2,"NL","F","33","126","Neotoma","albigula","Rodent","Control"
33238,12,15,2001,2,"NL","F","32","198","Neotoma","albigula","Rodent","Control"
33339,1,12,2002,2,"NL","","","","Neotoma","albigula","Rodent","Control"
33415,2,9,2002,2,"NL","M","33","120","Neotoma","albigula","Rodent","Control"
33583,3,13,2002,2,"NL","M","32","136","Neotoma","albigula","Rodent","Control"
33586,3,13,2002,2,"NL","F","32","196","Neotoma","albigula","Rodent","Control"
33837,4,17,2002,2,"NL","F","","190","Neotoma","albigula","Rodent","Control"
33847,4,17,2002,2,"NL","F","30","149","Neotoma","albigula","Rodent","Control"
33966,5,15,2002,2,"NL","F","31","188","Neotoma","albigula","Rodent","Control"
34198,6,15,2002,2,"NL","F","31","139","Neotoma","albigula","Rodent","Control"
34783,10,5,2002,2,"NL","M","36","226","Neotoma","albigula","Rodent","Control"
34991,11,9,2002,2,"NL","M","33","238","Neotoma","albigula","Rodent","Control"
35212,12,7,2002,2,"NL","M","33","248","Neotoma","albigula","Rodent","Control"
35404,12,29,2002,2,"NL","F","30","","Neotoma","albigula","Rodent","Control"
3,7,16,1977,2,"DM","F","37","","Dipodomys","merriami","Rodent","Control"
226,9,13,1977,2,"DM","M","37","51","Dipodomys","merriami","Rodent","Control"
233,9,13,1977,2,"DM","M","25","44","Dipodomys","merriami","Rodent","Control"
245,10,16,1977,2,"DM","M","37","39","Dipodomys","merriami","Rodent","Control"
251,10,16,1977,2,"DM","M","36","49","Dipodomys","merriami","Rodent","Control"
257,10,16,1977,2,"DM","M","37","47","Dipodomys","merriami","Rodent","Control"
259,10,16,1977,2,"DM","M","36","41","Dipodomys","merriami","Rodent","Control"
268,10,16,1977,2,"DM","F","36","55","Dipodomys","merriami","Rodent","Control"
346,11,12,1977,2,"DM","F","37","36","Dipodomys","merriami","Rodent","Control"
350,11,12,1977,2,"DM","M","37","47","Dipodomys","merriami","Rodent","Control"
354,11,12,1977,2,"DM","M","38","44","Dipodomys","merriami","Rodent","Control"
361,11,12,1977,2,"DM","F","36","40","Dipodomys","merriami","Rodent","Control"
422,12,10,1977,2,"DM","F","37","42","Dipodomys","merriami","Rodent","Control"
424,12,10,1977,2,"DM","M","37","52","Dipodomys","merriami","Rodent","Control"
427,12,10,1977,2,"DM","F","37","37","Dipodomys","merriami","Rodent","Control"
438,12,10,1977,2,"DM","M","36","47","Dipodomys","merriami","Rodent","Control"
449,12,10,1977,2,"DM","M","35","43","Dipodomys","merriami","Rodent","Control"
507,1,8,1978,2,"DM","M","35","44","Dipodomys","merriami","Rodent","Control"
511,1,8,1978,2,"DM","M","36","38","Dipodomys","merriami","Rodent","Control"
518,1,8,1978,2,"DM","M","36","38","Dipodomys","merriami","Rodent","Control"
519,1,8,1978,2,"DM","M","38","48","Dipodomys","merriami","Rodent","Control"
521,1,8,1978,2,"DM","M","36","43","Dipodomys","merriami","Rodent","Control"
522,1,8,1978,2,"DM","F","37","35","Dipodomys","merriami","Rodent","Control"
523,1,8,1978,2,"DM","M","36","43","Dipodomys","merriami","Rodent","Control"
527,1,8,1978,2,"DM","F","37","37","Dipodomys","merriami","Rodent","Control"
533,1,8,1978,2,"DM","M","","45","Dipodomys","merriami","Rodent","Control"
593,2,18,1978,2,"DM","M","38","52","Dipodomys","merriami","Rodent","Control"
595,2,18,1978,2,"DM","M","37","51","Dipodomys","merriami","Rodent","Control"
600,2,18,1978,2,"DM","F","37","40","Dipodomys","merriami","Rodent","Control"
601,2,18,1978,2,"DM","M","36","41","Dipodomys","merriami","Rodent","Control"
660,3,11,1978,2,"DM","M","37","53","Dipodomys","merriami","Rodent","Control"
664,3,11,1978,2,"DM","M","35","43","Dipodomys","merriami","Rodent","Control"
733,4,8,1978,2,"DM","M","33","","Dipodomys","merriami","Rodent","Control"
754,4,8,1978,2,"DM","M","37","","Dipodomys","merriami","Rodent","Control"
757,4,8,1978,2,"DM","F","","","Dipodomys","merriami","Rodent","Control"
764,4,8,1978,2,"DM","M","35","","Dipodomys","merriami","Rodent","Control"
838,5,6,1978,2,"DM","M","37","48","Dipodomys","merriami","Rodent","Control"
842,5,6,1978,2,"DM","F","38","41","Dipodomys","merriami","Rodent","Control"
849,5,6,1978,2,"DM","M","36","43","Dipodomys","merriami","Rodent","Control"
914,5,19,1978,2,"DM","F","","41","Dipodomys","merriami","Rodent","Control"
924,5,19,1978,2,"DM","M","37","49","Dipodomys","merriami","Rodent","Control"
930,5,19,1978,2,"DM","M","36","44","Dipodomys","merriami","Rodent","Control"
1018,6,9,1978,2,"DM","M","36","43","Dipodomys","merriami","Rodent","Control"
1061,7,7,1978,2,"DM","F","38","46","Dipodomys","merriami","Rodent","Control"
1062,7,7,1978,2,"DM","F","37","43","Dipodomys","merriami","Rodent","Control"
1159,8,5,1978,2,"DM","F","36","31","Dipodomys","merriami","Rodent","Control"
1183,8,5,1978,2,"DM","F","37","47","Dipodomys","merriami","Rodent","Control"
1269,9,4,1978,2,"DM","F","38","41","Dipodomys","merriami","Rodent","Control"
1272,9,4,1978,2,"DM","F","36","42","Dipodomys","merriami","Rodent","Control"
1277,9,4,1978,2,"DM","F","38","47","Dipodomys","merriami","Rodent","Control"
1370,10,8,1978,2,"DM","F","36","39","Dipodomys","merriami","Rodent","Control"
1382,10,8,1978,2,"DM","F","38","42","Dipodomys","merriami","Rodent","Control"
1461,11,5,1978,2,"DM","F","36","38","Dipodomys","merriami","Rodent","Control"
1469,11,5,1978,2,"DM","F","38","41","Dipodomys","merriami","Rodent","Control"
1519,12,3,1978,2,"DM","M","38","46","Dipodomys","merriami","Rodent","Control"
1529,12,3,1978,2,"DM","M","38","38","Dipodomys","merriami","Rodent","Control"
1534,12,3,1978,2,"DM","F","37","40","Dipodomys","merriami","Rodent","Control"
1535,12,3,1978,2,"DM","F","38","43","Dipodomys","merriami","Rodent","Control"
1539,12,3,1978,2,"DM","M","36","49","Dipodomys","merriami","Rodent","Control"
1581,1,29,1979,2,"DM","F","38","42","Dipodomys","merriami","Rodent","Control"
1611,1,29,1979,2,"DM","F","","43","Dipodomys","merriami","Rodent","Control"
1644,2,25,1979,2,"DM","F","37","44","Dipodomys","merriami","Rodent","Control"
1661,2,25,1979,2,"DM","F","35","44","Dipodomys","merriami","Rodent","Control"
1676,3,31,1979,2,"DM","M","36","54","Dipodomys","merriami","Rodent","Control"
1692,3,31,1979,2,"DM","M","37","45","Dipodomys","merriami","Rodent","Control"
1701,3,31,1979,2,"DM","F","36","46","Dipodomys","merriami","Rodent","Control"
1768,4,29,1979,2,"DM","M","39","43","Dipodomys","merriami","Rodent","Control"
1839,5,30,1979,2,"DM","M","37","50","Dipodomys","merriami","Rodent","Control"
1845,5,30,1979,2,"DM","F","36","53","Dipodomys","merriami","Rodent","Control"
1846,5,30,1979,2,"DM","M","37","45","Dipodomys","merriami","Rodent","Control"
2014,8,23,1979,2,"DM","M","38","49","Dipodomys","merriami","Rodent","Control"
2060,9,23,1979,2,"DM","F","35","46","Dipodomys","merriami","Rodent","Control"
2070,9,23,1979,2,"DM","M","37","51","Dipodomys","merriami","Rodent","Control"
2122,10,25,1979,2,"DM","F","35","35","Dipodomys","merriami","Rodent","Control"
2131,10,25,1979,2,"DM","F","37","47","Dipodomys","merriami","Rodent","Control"
2176,11,17,1979,2,"DM","M","37","50","Dipodomys","merriami","Rodent","Control"
2181,11,17,1979,2,"DM","F","36","49","Dipodomys","merriami","Rodent","Control"
2338,1,16,1980,2,"DM","F","36","46","Dipodomys","merriami","Rodent","Control"
2339,1,16,1980,2,"DM","F","35","37","Dipodomys","merriami","Rodent","Control"
2340,1,16,1980,2,"DM","F","34","42","Dipodomys","merriami","Rodent","Control"
2372,1,16,1980,2,"DM","F","36","37","Dipodomys","merriami","Rodent","Control"
2400,1,16,1980,2,"DM","F","36","42","Dipodomys","merriami","Rodent","Control"
2456,2,25,1980,2,"DM","F","36","48","Dipodomys","merriami","Rodent","Control"
2460,2,25,1980,2,"DM","F","37","46","Dipodomys","merriami","Rodent","Control"
2525,2,25,1980,2,"DM","F","36","45","Dipodomys","merriami","Rodent","Control"
2555,3,9,1980,2,"DM","M","","42","Dipodomys","merriami","Rodent","Control"
2589,3,9,1980,2,"DM","F","","46","Dipodomys","merriami","Rodent","Control"
2600,3,9,1980,2,"DM","F","","38","Dipodomys","merriami","Rodent","Control"
2622,3,9,1980,2,"DM","M","","43","Dipodomys","merriami","Rodent","Control"
2631,3,9,1980,2,"DM","M","","44","Dipodomys","merriami","Rodent","Control"
2635,3,9,1980,2,"DM","F","","52","Dipodomys","merriami","Rodent","Control"
2643,3,9,1980,2,"DM","M","","43","Dipodomys","merriami","Rodent","Control"
2653,3,9,1980,2,"DM","M","","51","Dipodomys","merriami","Rodent","Control"
2662,3,9,1980,2,"DM","M","","47","Dipodomys","merriami","Rodent","Control"
2667,3,9,1980,2,"DM","F","","46","Dipodomys","merriami","Rodent","Control"
2692,3,9,1980,2,"DM","M","","45","Dipodomys","merriami","Rodent","Control"
2695,3,9,1980,2,"DM","M","","45","Dipodomys","merriami","Rodent","Control"
2701,3,9,1980,2,"DM","F","","49","Dipodomys","merriami","Rodent","Control"
2715,3,9,1980,2,"DM","F","","50","Dipodomys","merriami","Rodent","Control"
2740,3,9,1980,2,"DM","F","","45","Dipodomys","merriami","Rodent","Control"
2790,3,22,1980,2,"DM","F","","59","Dipodomys","merriami","Rodent","Control"
2814,3,22,1980,2,"DM","F","","44","Dipodomys","merriami","Rodent","Control"
2901,4,18,1980,2,"DM","F","","53","Dipodomys","merriami","Rodent","Control"
2902,4,18,1980,2,"DM","M","","48","Dipodomys","merriami","Rodent","Control"
2906,4,18,1980,2,"DM","M","","43","Dipodomys","merriami","Rodent","Control"
2975,5,18,1980,2,"DM","M","35","43","Dipodomys","merriami","Rodent","Control"
2981,5,18,1980,2,"DM","F","36","56","Dipodomys","merriami","Rodent","Control"
3033,6,2,1980,2,"DM","F","","45","Dipodomys","merriami","Rodent","Control"
3035,6,2,1980,2,"DM","M","38","46","Dipodomys","merriami","Rodent","Control"
3099,6,23,1980,2,"DM","M","35","42","Dipodomys","merriami","Rodent","Control"
3107,6,23,1980,2,"DM","F","35","53","Dipodomys","merriami","Rodent","Control"
3182,7,22,1980,2,"DM","M","36","43","Dipodomys","merriami","Rodent","Control"
3236,8,14,1980,2,"DM","M","35","42","Dipodomys","merriami","Rodent","Control"
3302,9,8,1980,2,"DM","M","35","45","Dipodomys","merriami","Rodent","Control"
3388,10,12,1980,2,"DM","M","34","45","Dipodomys","merriami","Rodent","Control"
3454,11,9,1980,2,"DM","F","35","38","Dipodomys","merriami","Rodent","Control"
3456,11,9,1980,2,"DM","F","36","45","Dipodomys","merriami","Rodent","Control"
3525,11,9,1980,2,"DM","M","34","42","Dipodomys","merriami","Rodent","Control"
3547,12,15,1980,2,"DM","M","34","48","Dipodomys","merriami","Rodent","Control"
3550,12,15,1980,2,"DM","F","37","46","Dipodomys","merriami","Rodent","Control"
3564,12,15,1980,2,"DM","M","35","49","Dipodomys","merriami","Rodent","Control"
3566,12,15,1980,2,"DM","M","34","47","Dipodomys","merriami","Rodent","Control"
3569,12,15,1980,2,"DM","M","34","33","Dipodomys","merriami","Rodent","Control"
3580,12,15,1980,2,"DM","M","35","42","Dipodomys","merriami","Rodent","Control"
3738,1,12,1981,2,"DM","M","35","47","Dipodomys","merriami","Rodent","Control"
3741,1,12,1981,2,"DM","M","37","50","Dipodomys","merriami","Rodent","Control"
3781,1,12,1981,2,"DM","M","35","54","Dipodomys","merriami","Rodent","Control"
3790,1,12,1981,2,"DM","M","35","41","Dipodomys","merriami","Rodent","Control"
3867,2,1,1981,2,"DM","M","37","48","Dipodomys","merriami","Rodent","Control"
3877,2,1,1981,2,"DM","M","37","50","Dipodomys","merriami","Rodent","Control"
3889,2,1,1981,2,"DM","M","36","48","Dipodomys","merriami","Rodent","Control"
3897,2,1,1981,2,"DM","M","37","49","Dipodomys","merriami","Rodent","Control"
3899,2,1,1981,2,"DM","M","36","44","Dipodomys","merriami","Rodent","Control"
3901,2,1,1981,2,"DM","M","37","39","Dipodomys","merriami","Rodent","Control"
3947,3,9,1981,2,"DM","M","35","51","Dipodomys","merriami","Rodent","Control"
3960,3,9,1981,2,"DM","M","37","49","Dipodomys","merriami","Rodent","Control"
3979,3,9,1981,2,"DM","F","34","51","Dipodomys","merriami","Rodent","Control"
3998,3,9,1981,2,"DM","F","36","30","Dipodomys","merriami","Rodent","Control"
