row_id,studyname,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15n,delta_13c,comments,year,clutch_complete,morphology_complete,isotope_complete,quality_issue
ade-043,PAL0708,43,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N27A1,Yes,2007-11-19,36.0,18.5,186.0,3100.0,Female,9.50772,-25.03492,,2007.0,True,True,True,none
ade-044,PAL0708,44,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N27A2,Yes,2007-11-19,44.1,19.7,196.0,4400.0,Male,9.2372,-24.52698,,2007.0,True,True,True,none
ade-045,PAL0708,45,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N28A1,Yes,2007-11-16,37.0,16.9,185.0,3000.0,Female,9.36392,-25.01745,,2007.0,True,True,True,none
ade-046,PAL0708,46,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N28A2,Yes,2007-11-16,39.6,18.8,190.0,4600.0,Male,9.49106,-24.10255,,2007.0,True,True,True,none
ade-047,PAL0708,47,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N29A1,Yes,2007-11-13,41.1,19.0,182.0,3425.0,Male,,,Not enough blood for isotopes.,2007.0,True,True,False,missing_isotope
ade-048,PAL0708,48,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N29A2,Yes,2007-11-13,37.5,18.9,179.0,2975.0,,,,Sexing primers did not amplify. Not enough blood for isotopes.,2007.0,True,True,False,missing_sex
ade-049,PAL0708,49,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N30A1,Yes,2007-11-13,36.0,17.9,190.0,3450.0,Female,9.51784,-25.07683,,2007.0,True,True,True,none
ade-050,PAL0708,50,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N30A2,Yes,2007-11-13,42.3,21.2,191.0,4150.0,Male,8.87988,-25.18543,,2007.0,True,True,True,none
ade-051,PAL0809,51,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A1,Yes,2008-11-06,39.6,17.7,186.0,3500.0,Female,8.46616,-26.12989,,2008.0,True,True,True,none
ade-052,PAL0809,52,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A2,Yes,2008-11-06,40.1,18.9,188.0,4300.0,Male,8.51362,-26.55602,,2008.0,True,True,True,none
ade-053,PAL0809,53,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A1,Yes,2008-11-09,35.0,17.9,190.0,3450.0,Female,8.19539,-26.17213,,2008.0,True,True,True,none
ade-054,PAL0809,54,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A2,Yes,2008-11-09,42.0,19.5,200.0,4050.0,Male,8.48095,-26.3146,,2008.0,True,True,True,none
ade-055,PAL0809,55,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A1,Yes,2008-11-09,34.5,18.1,187.0,2900.0,Female,8.41837,-26.54718,,2008.0,True,True,True,none
ade-056,PAL0809,56,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A2,Yes,2008-11-09,41.4,18.6,191.0,3700.0,Male,8.35396,-26.27853,,2008.0,True,True,True,none
ade-057,PAL0809,57,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A1,Yes,2008-11-15,39.0,17.5,186.0,3550.0,Female,8.57199,-26.07188,,2008.0,True,True,True,none
ade-058,PAL0809,58,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A2,Yes,2008-11-15,40.6,18.8,193.0,3800.0,Male,8.56674,-25.98843,,2008.0,True,True,True,none
ade-059,PAL0809,59,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N25A1,Yes,2008-11-15,36.5,16.6,181.0,2850.0,Female,9.07878,-25.88156,,2008.0,True,True,True,none
ade-060,PAL0809,60,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N25A2,Yes,2008-11-15,37.6,19.1,194.0,3750.0,Male,9.108,-25.89677,,2008.0,True,True,True,none
ade-061,PAL0809,61,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N27A1,Yes,2008-11-13,35.7,16.9,185.0,3150.0,Female,8.96472,-26.40943,,2008.0,True,True,True,none
ade-062,PAL0809,62,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N27A2,Yes,2008-11-13,41.3,21.1,195.0,4400.0,Male,8.74802,-26.37809,,2008.0,True,True,True,none
ade-063,PAL0809,63,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A1,Yes,2008-11-13,37.6,17.0,185.0,3600.0,Female,8.58063,-26.21569,,2008.0,True,True,True,none
ade-064,PAL0809,64,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A2,Yes,2008-11-13,41.1,18.2,192.0,4050.0,Male,8.62264,-26.60023,,2008.0,True,True,True,none
ade-065,PAL0809,65,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A1,Yes,2008-11-13,36.4,17.1,184.0,2850.0,Female,8.62623,-26.1165,,2008.0,True,True,True,none
ade-066,PAL0809,66,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A2,Yes,2008-11-13,41.6,18.0,192.0,3950.0,Male,8.85562,-26.09294,,2008.0,True,True,True,none
ade-067,PAL0809,67,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N30A1,Yes,2008-11-06,35.5,16.2,195.0,3350.0,Female,8.56192,-25.95541,,2008.0,True,True,True,none
ade-068,PAL0809,68,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N30A2,Yes,2008-11-06,41.1,19.1,188.0,4100.0,Male,8.71078,-25.81012,,2008.0,True,True,True,none
ade-069,PAL0809,69,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N32A1,No,2008-11-11,35.9,16.6,190.0,3050.0,Female,8.47781,-26.07821,Nest never observed with full clutch.,2008.0,False,True,True,none
ade-070,PAL0809,70,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N32A2,No,2008-11-11,41.8,19.4,198.0,4450.0,Male,8.86853,-26.06209,Nest never observed with full clutch.,2008.0,False,True,True,none
ade-071,PAL0809,71,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N34A1,Yes,2008-11-14,33.5,19.0,190.0,3600.0,Female,7.88863,-26.63085,,2008.0,True,True,True,none
ade-072,PAL0809,72,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N34A2,Yes,2008-11-14,39.7,18.4,190.0,3900.0,Male,9.29808,-25.23453,,2008.0,True,True,True,none
ade-073,PAL0809,73,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N35A1,Yes,2008-11-11,39.6,17.2,196.0,3550.0,Female,8.33524,-26.55351,,2008.0,True,True,True,none
ade-074,PAL0809,74,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N35A2,Yes,2008-11-11,45.8,18.9,197.0,4150.0,Male,8.18658,-26.45978,,2008.0,True,True,True,none
ade-075,PAL0809,75,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N36A1,Yes,2008-11-08,35.5,17.5,190.0,3700.0,Female,8.70642,-26.15003,,2008.0,True,True,True,none
ade-076,PAL0809,76,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N36A2,Yes,2008-11-08,42.8,18.5,195.0,4250.0,Male,8.2993,-26.38986,,2008.0,True,True,True,none
ade-077,PAL0809,77,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N37A1,Yes,2008-11-06,40.9,16.8,191.0,3700.0,Female,8.47257,-26.02002,,2008.0,True,True,True,none
ade-078,PAL0809,78,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N37A2,Yes,2008-11-06,37.2,19.4,184.0,3900.0,Male,8.3554,-26.44787,,2008.0,True,True,True,none
ade-079,PAL0809,79,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N38A1,Yes,2008-11-09,36.2,16.1,187.0,3550.0,Female,7.82381,-26.51382,,2008.0,True,True,True,none
ade-080,PAL0809,80,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N38A2,Yes,2008-11-09,42.1,19.1,195.0,4000.0,Male,9.05736,-25.81513,,2008.0,True,True,True,none
ade-081,PAL0809,81,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N39A1,Yes,2008-11-02,34.6,17.2,189.0,3200.0,Female,7.69778,-26.5387,,2008.0,True,True,True,none
ade-082,PAL0809,82,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N39A2,Yes,2008-11-02,42.9,17.6,196.0,4700.0,Male,8.63259,-26.23027,,2008.0,True,True,True,none
ade-083,PAL0809,83,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N40A1,Yes,2008-11-07,36.7,18.8,187.0,3800.0,Female,7.88494,-26.24837,,2008.0,True,True,True,none
ade-084,PAL0809,84,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N40A2,Yes,2008-11-07,35.1,19.4,193.0,4200.0,Male,8.90002,-26.46254,,2008.0,True,True,True,none
ade-085,PAL0809,85,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N41A1,Yes,2008-11-17,37.3,17.8,191.0,3350.0,Female,8.32718,-26.38396,,2008.0,True,True,True,none
ade-086,PAL0809,86,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N41A2,Yes,2008-11-17,41.3,20.3,194.0,3550.0,Male,9.14863,-26.09635,,2008.0,True,True,True,none
ade-087,PAL0809,87,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N42A1,Yes,2008-11-08,36.3,19.5,190.0,3800.0,Male,8.57087,-26.22227,,2008.0,True,True,True,none
ade-088,PAL0809,88,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N42A2,Yes,2008-11-08,36.9,18.6,189.0,3500.0,Female,8.59147,-26.08165,,2008.0,True,True,True,none
ade-089,PAL0809,89,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N44A1,Yes,2008-11-08,38.3,19.2,189.0,3950.0,Male,9.07826,-26.12417,,2008.0,True,True,True,none
ade-090,PAL0809,90,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N44A2,Yes,2008-11-08,38.9,18.8,190.0,3600.0,Female,8.36936,-26.11199,,2008.0,True,True,True,none
ade-091,PAL0809,91,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N45A1,Yes,2008-11-14,35.7,18.0,202.0,3550.0,Female,8.46531,-26.05621,,2008.0,True,True,True,none
ade-092,PAL0809,92,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N45A2,Yes,2008-11-14,41.1,18.1,205.0,4300.0,Male,8.77018,-25.83352,,2008.0,True,True,True,none
ade-093,PAL0809,93,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N46A1,Yes,2008-11-05,34.0,17.1,185.0,3400.0,Female,8.01485,-26.69543,,2008.0,True,True,True,none
ade-094,PAL0809,94,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N46A2,Yes,2008-11-05,39.6,18.1,186.0,4450.0,Male,8.49915,-26.42406,,2008.0,True,True,True,none
ade-095,PAL0809,95,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N48A1,Yes,2008-11-17,36.2,17.3,187.0,3300.0,Female,8.90723,-26.30037,,2008.0,True,True,True,none
ade-096,PAL0809,96,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N48A2,Yes,2008-11-17,40.8,18.9,208.0,4300.0,Male,8.48204,-26.57941,,2008.0,True,True,True,none
ade-097,PAL0809,97,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N49A1,Yes,2008-11-08,38.1,18.6,190.0,3700.0,Female,8.10277,-26.50086,,2008.0,True,True,True,none
ade-098,PAL0809,98,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N49A2,Yes,2008-11-08,40.3,18.5,196.0,4350.0,Male,8.39459,-26.01152,,2008.0,True,True,True,none
ade-099,PAL0809,99,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N50A1,Yes,2008-11-10,33.1,16.1,178.0,2900.0,Female,9.04218,-26.15775,,2008.0,True,True,True,none
ade-100,PAL0809,100,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N50A2,Yes,2008-11-10,43.2,18.5,192.0,4100.0,Male,8.97025,-26.03679,,2008.0,True,True,True,none
ade-101,PAL0910,101,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A1,Yes,2009-11-09,35.0,17.9,192.0,3725.0,Female,8.84451,-26.28055,,2009.0,True,True,True,none
ade-102,PAL0910,102,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A2,Yes,2009-11-09,41.0,20.0,203.0,4725.0,Male,9.01079,-26.38085,,2009.0,True,True,True,none
ade-103,PAL0910,103,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A1,Yes,2009-11-15,37.7,16.0,183.0,3075.0,Female,9.2151,-26.2253,,2009.0,True,True,True,none
ade-104,PAL0910,104,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A2,Yes,2009-11-15,37.8,20.0,190.0,4250.0,Male,9.51929,-25.69199,,2009.0,True,True,True,none
ade-105,PAL0910,105,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A1,Yes,2009-11-15,37.9,18.6,193.0,2925.0,Female,9.02642,-25.86482,,2009.0,True,True,True,none
ade-106,PAL0910,106,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A2,Yes,2009-11-15,39.7,18.9,184.0,3550.0,Male,8.85699,-25.80208,,2009.0,True,True,True,none
ade-107,PAL0910,107,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A1,Yes,2009-11-15,38.6,17.2,199.0,3750.0,Female,8.77322,-26.48973,,2009.0,True,True,True,none
ade-108,PAL0910,108,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A2,Yes,2009-11-15,38.2,20.0,190.0,3900.0,Male,9.59245,-25.70711,,2009.0,True,True,True,none
ade-109,PAL0910,109,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A1,Yes,2009-11-20,38.1,17.0,181.0,3175.0,Female,9.79532,-25.27385,,2009.0,True,True,True,none
ade-110,PAL0910,110,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A2,Yes,2009-11-20,43.2,19.0,197.0,4775.0,Male,9.31735,-25.45171,,2009.0,True,True,True,none
ade-111,PAL0910,111,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,2009-11-12,38.1,16.5,198.0,3825.0,Female,8.43951,-26.57563,,2009.0,True,True,True,none
ade-112,PAL0910,112,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A2,Yes,2009-11-12,45.6,20.3,191.0,4600.0,Male,8.65466,-26.32909,,2009.0,True,True,True,none
ade-113,PAL0910,113,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A1,Yes,2009-11-15,39.7,17.7,193.0,3200.0,Female,9.02657,-26.06203,,2009.0,True,True,True,none
ade-114,PAL0910,114,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A2,Yes,2009-11-15,42.2,19.5,197.0,4275.0,Male,8.80186,-26.41218,,2009.0,True,True,True,none
ade-115,PAL0910,115,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N61A1,Yes,2009-11-17,39.6,20.7,191.0,3900.0,Female,8.80967,-26.78958,,2009.0,True,True,True,none
ade-116,PAL0910,116,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N61A2,Yes,2009-11-17,42.7,18.3,196.0,4075.0,Male,8.91434,-26.42018,,2009.0,True,True,True,none
ade-117,PAL0910,117,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N63A1,Yes,2009-11-18,38.6,17.0,188.0,2900.0,Female,9.18021,-25.77264,,2009.0,True,True,True,none
ade-118,PAL0910,118,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N63A2,Yes,2009-11-18,37.3,20.5,199.0,3775.0,Male,9.49645,-26.36678,,2009.0,True,True,True,none
ade-119,PAL0910,119,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N64A1,Yes,2009-11-22,35.7,17.0,189.0,3350.0,Female,8.96436,-23.90309,,2009.0,True,True,True,none
ade-120,PAL0910,120,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N64A2,Yes,2009-11-22,41.1,18.6,189.0,3325.0,Male,9.32277,-26.09989,,2009.0,True,True,True,none
ade-121,PAL0910,121,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N66A1,No,2009-11-17,36.2,17.2,187.0,3150.0,Female,9.04296,-26.19444,Nest never observed with full clutch.,2009.0,False,True,True,none
ade-122,PAL0910,122,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N66A2,No,2009-11-17,37.7,19.8,198.0,3500.0,Male,9.11066,-26.42563,Nest never observed with full clutch.,2009.0,False,True,True,none
ade-123,PAL0910,123,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N67A1,Yes,2009-11-16,40.2,17.0,176.0,3450.0,Female,9.30722,-25.61039,,2009.0,True,True,True,none
ade-124,PAL0910,124,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N67A2,Yes,2009-11-16,41.4,18.5,202.0,3875.0,Male,9.59462,-25.42621,,2009.0,True,True,True,none
ade-125,PAL0910,125,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N69A1,Yes,2009-11-18,35.2,15.9,186.0,3050.0,Female,8.81668,-25.95399,,2009.0,True,True,True,none
ade-126,PAL0910,126,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N69A2,Yes,2009-11-18,40.6,19.0,199.0,4000.0,Male,9.22537,-25.60826,,2009.0,True,True,True,none
ade-127,PAL0910,127,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N71A1,Yes,2009-11-21,38.8,17.6,191.0,3275.0,Female,8.88098,-25.89741,,2009.0,True,True,True,none
ade-128,PAL0910,128,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N71A2,Yes,2009-11-21,41.5,18.3,195.0,4300.0,Male,8.52566,-26.0245,,2009.0,True,True,True,none
ade-129,PAL0910,129,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N72A1,Yes,2009-11-18,39.0,17.1,191.0,3050.0,Female,9.19031,-25.73722,,2009.0,True,True,True,none
