species,sex,metric,n,mean,std_error,dimorphism_percent,eligibility,sample_policy,size_metric,model_strategy,outlier_policy,uncertainty_method,universe
Chinstrap,Female,flipper_length_mm,27,191.4814814814815,1.0464570130958393,4.758220502901334,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Chinstrap,Female,body_mass_g,27,3593.5185185185187,44.26900320686959,9.971656789487238,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Chinstrap,Female,size_score,27,-5.139806092594885,1.072701154814,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Chinstrap,Male,culmen_length_mm,27,51.17407407407408,0.3092861274303643,10.695401377984304,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Chinstrap,Male,culmen_depth_mm,27,19.244444444444444,0.15482122153076205,9.458605435011581,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Chinstrap,Male,flipper_length_mm,27,200.59259259259258,1.200972136214534,4.758220502901334,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Chinstrap,Male,body_mass_g,27,3951.8518518518517,70.49537180871734,9.971656789487238,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Chinstrap,Male,size_score,27,5.139806092594888,1.159525409789207,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Gentoo,Female,culmen_length_mm,54,45.67407407407408,0.26864030106629466,8.293534063328378,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Gentoo,Female,culmen_depth_mm,54,14.274074074074075,0.07379051245761481,10.013778787824567,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Gentoo,Female,flipper_length_mm,54,212.7962962962963,0.5394173615002869,4.098259807525517,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Gentoo,Female,body_mass_g,54,4698.148148148148,35.84516558982132,16.672896307069184,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Gentoo,Female,size_score,54,-4.885240218491726,0.5343053654381689,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Gentoo,Male,culmen_length_mm,58,49.46206896551725,0.3659743856818921,8.293534063328378,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Gentoo,Male,culmen_depth_mm,58,15.70344827586207,0.09942257723542566,10.013778787824567,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Gentoo,Male,flipper_length_mm,58,221.51724137931035,0.7533917576789806,4.098259807525517,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Gentoo,Male,body_mass_g,58,5481.4655172413795,41.97808761721204,16.672896307069184,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
Gentoo,Male,size_score,58,4.693040219807976,0.7819152257069497,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
