record_type,species,isotope,n,model,aicc,delta_aicc,weight,r_squared,outlier_row_id,term,estimate,std_error,conf_low,conf_high,eligibility,sample_policy,size_metric,model_strategy,outlier_policy,uncertainty_method,universe
model_average,Adelie,delta_13c,125,full_average,,,,,ade-119,sex[Male]:year[2008],0.0019190564018179963,0.027942854547754685,-0.052848938511781185,0.05668705131541718,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Adelie,delta_13c,125,full_average,,,,,ade-119,sex[Male]:year[2009],-0.0020605462808056542,0.028564154714449782,-0.058046289521127226,0.05392519695951592,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Adelie,delta_13c,125,full_average,,,,,ade-119,size_score,-0.00028686574918598335,0.004361987347173503,-0.008836360949646049,0.008262629451274083,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Adelie,delta_13c,125,full_average,,,,,ade-119,size_score:year[2008],-7.022846763510676e-05,0.004313636498319244,-0.008524956004340825,0.008384499069070612,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Adelie,delta_13c,125,full_average,,,,,ade-119,size_score:year[2009],-0.00234684311195635,0.0072693749742003015,-0.01659481806138894,0.01190113183747624,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Adelie,delta_13c,125,full_average,,,,,ade-119,year[2008],-1.1736011352594347,0.07425417474338754,-1.3191393177564743,-1.028062952762395,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Adelie,delta_13c,125,full_average,,,,,ade-119,year[2009],-0.9417111482099894,0.07585287975553649,-1.090382792530841,-0.7930395038891378,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Chinstrap,delta_13c,54,null,-8.984684839880622,1.2247292150838796,0.14709369148296317,0.0,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Chinstrap,delta_13c,54,sex,-8.31631458543323,1.893099469531272,0.10530749703891136,0.027215408429786758,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Chinstrap,delta_13c,54,size,-8.464772890809673,1.744641164154828,0.11342181741792062,0.029886142037762742,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Chinstrap,delta_13c,54,year,-10.209414054964501,0.0,0.2713567425376887,0.09897171789986803,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Chinstrap,delta_13c,54,sex_year,-9.529288984699633,0.680125070264868,0.19313159833213997,0.12618712632965445,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Chinstrap,delta_13c,54,size_year,-8.72466469691945,1.4847493580450504,0.12916099755939858,0.11306943444133133,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Chinstrap,delta_13c,54,sex_x_year,-4.616295222012649,5.593118832951852,0.0165580921145523,0.12712376804439385,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Chinstrap,delta_13c,54,size_x_year,-5.356115035726496,4.853299019238005,0.023969563516425155,0.13900094607167035,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Chinstrap,delta_13c,54,full_average,,,,,,Intercept,-24.581949789686426,0.054922750055966016,-24.68959837979612,-24.474301199576733,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Chinstrap,delta_13c,54,full_average,,,,,,sex[Male],0.022638280294766396,0.048031733573399786,-0.07150391750909718,0.11678047809862999,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Chinstrap,delta_13c,54,full_average,,,,,,sex[Male]:year[2008],0.0004257453440250121,0.02011859482302303,-0.03900670050910013,0.03985819119715016,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Chinstrap,delta_13c,54,full_average,,,,,,sex[Male]:year[2009],-0.00011948252368536381,0.017727121519715623,-0.03486464070232798,0.03462567565495726,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Chinstrap,delta_13c,54,full_average,,,,,,size_score,0.001172511973091832,0.0030358768842965026,-0.004777806720129313,0.007122830666312977,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Chinstrap,delta_13c,54,full_average,,,,,,size_score:year[2008],-0.00023268796016422043,0.002196247878493784,-0.004537333802012037,0.004071957881683596,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Chinstrap,delta_13c,54,full_average,,,,,,size_score:year[2009],2.356942108195318e-05,0.0015582840142115179,-0.0030306672467726218,0.0030778060889365285,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Chinstrap,delta_13c,54,full_average,,,,,,year[2008],-0.02175101180880193,0.06424169921980086,-0.1476647422796116,0.10416271866200774,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Chinstrap,delta_13c,54,full_average,,,,,,year[2009],0.07568557098398146,0.08031816561761985,-0.08173803362655346,0.23310917559451638,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Gentoo,delta_13c,111,null,180.42822316365144,309.296662134641,4.770094159730904e-68,0.0,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Gentoo,delta_13c,111,sex,182.396572181687,311.2650111526766,1.7828113628597422e-68,0.0009550827653137528,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Gentoo,delta_13c,111,size,181.83285354443615,310.70129251542573,2.363280873641076e-68,0.006015916897385343,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Gentoo,delta_13c,111,year,-124.24903371197682,4.619405259012765,0.06892117345792337,0.9381204975910039,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Gentoo,delta_13c,111,sex_year,-124.94687619213501,3.921562778854579,0.09769835073264273,0.9396895623868846,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Gentoo,delta_13c,111,size_year,-128.8684389709896,0.0,0.694134723257744,0.9417830942655179,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Gentoo,delta_13c,111,sex_x_year,-121.15041973239185,7.7180192385977335,0.014638520550010725,0.9400329900599322,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Gentoo,delta_13c,111,size_x_year,-125.4334401290247,3.434998841964884,0.12460723200167928,0.9423027906609556,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Gentoo,delta_13c,111,full_average,,,,,,Intercept,-25.42364896527549,0.027454189825664537,-25.47745917733379,-25.369838753217188,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Gentoo,delta_13c,111,full_average,,,,,,sex[Male],0.004878486576985806,0.016996049332656266,-0.028433770115020476,0.03819074326899209,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Gentoo,delta_13c,111,full_average,,,,,,sex[Male]:year[2008],-0.0004263514419898859,0.00865064695191837,-0.017381619467749892,0.016528916583770117,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Gentoo,delta_13c,111,full_average,,,,,,sex[Male]:year[2009],0.0002542434391864501,0.008225704099848376,-0.01586813659651637,0.016376623474889267,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Gentoo,delta_13c,111,full_average,,,,,,size_score,0.0036146158724907687,0.0028347523752003624,-0.001941498782901941,0.009170730527883478,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Gentoo,delta_13c,111,full_average,,,,,,size_score:year[2008],0.0002570179684861122,0.0019194278130437012,-0.003505060545079542,0.004019096482051766,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Gentoo,delta_13c,111,full_average,,,,,,size_score:year[2009],0.0005731739819510729,0.002300400078334671,-0.003935610171584882,0.005081958135487028,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Gentoo,delta_13c,111,full_average,,,,,,year[2008],-1.333357647286579,0.03318961809629958,-1.398409298755326,-1.2683059958178318,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Gentoo,delta_13c,111,full_average,,,,,,year[2009],-0.7393954737214616,0.03402829363860015,-0.806090929253118,-0.6727000181898053,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Adelie,delta_15n,126,null,149.68425962644207,39.005311316443056,1.573497351664143e-09,0.0,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Adelie,delta_15n,126,sex,148.92850794417024,38.24955963417122,2.296018636968196e-09,0.022140541432285166,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Adelie,delta_15n,126,size,150.9167647123042,40.237816402305185,8.496321494708054e-10,0.006587711804980745,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Adelie,delta_15n,126,year,112.82779789178518,2.148849581786166,0.15854224119911908,0.2778792401602498,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Adelie,delta_15n,126,sex_year,110.67894830999902,0.0,0.4642605174518742,0.30201148677311707,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Adelie,delta_15n,126,size_year,114.25826447607045,3.579316166071436,0.0775395223096049,0.28189922303335035,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Adelie,delta_15n,126,sex_x_year,111.63421131935843,0.9552630093594132,0.28795791759925615,0.32070230381839593,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Adelie,delta_15n,126,size_x_year,118.0406970846252,7.361748774626179,0.0116997967209974,0.28527018521930214,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Adelie,delta_15n,126,full_average,,,,,,Intercept,8.99942845243726,0.08381480839811771,8.835151427976948,9.16370547689757,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Adelie,delta_15n,126,full_average,,,,,,sex[Male],0.054530841230548,0.11233718392918994,-0.1656500392706643,0.2747117217317603,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Adelie,delta_15n,126,full_average,,,,,,sex[Male]:year[2008],0.08631220414769743,0.16287220266113653,-0.23291731306813018,0.405541721363525,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Adelie,delta_15n,126,full_average,,,,,,sex[Male]:year[2009],0.03887636428541946,0.10947090225455697,-0.1756866041335122,0.25343933270435115,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Adelie,delta_15n,126,full_average,,,,,,size_score,-0.00045647881793670314,0.0024387738776537426,-0.005236475618138039,0.004323517982264632,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Adelie,delta_15n,126,full_average,,,,,,size_score:year[2008],0.00011993062300847071,0.001878266621258105,-0.0035614719546574153,0.0038013332006743565,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Adelie,delta_15n,126,full_average,,,,,,size_score:year[2009],4.370300555014542e-05,0.0015323097840776224,-0.0029596241712419947,0.0030470301823422854,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Adelie,delta_15n,126,full_average,,,,,,year[2008],-0.5134169280420323,0.11644088052750712,-0.7416410538759463,-0.2851928022081184,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Adelie,delta_15n,126,full_average,,,,,,year[2009],-0.01582460283557688,0.10087370416023053,-0.2135370629896287,0.18188785731847495,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Chinstrap,delta_15n,53,null,46.00966872755288,33.22702104164197,5.3862186909246104e-08,0.0,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Chinstrap,delta_15n,53,sex,43.1688925203047,30.386244834393793,2.2292085402372363e-07,0.09006659621734392,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Chinstrap,delta_15n,53,size,43.55259389291477,30.769946207003862,1.8400558445845906e-07,0.0834550945823348,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Chinstrap,delta_15n,53,year,20.43714102499519,7.654493339084281,0.019243666304706038,0.43205677202639736,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Chinstrap,delta_15n,53,sex_year,12.782647685910907,0.0,0.8839748862404145,0.5296959627746343,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Chinstrap,delta_15n,53,size_year,21.9691276788619,9.186479992950991,0.008945840328901767,0.4406870338012826,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Chinstrap,delta_15n,53,sex_x_year,17.418896105771807,4.6362484198609,0.08703448705801228,0.5328488532543352,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Chinstrap,delta_15n,53,size_x_year,26.796144574963783,14.013496889052876,0.0008006592793398768,0.4424333340271439,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Chinstrap,delta_15n,53,full_average,,,,,,Intercept,8.906476986262737,0.07581397470268092,8.757881595845483,9.055072376679991,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Chinstrap,delta_15n,53,full_average,,,,,,sex[Male],0.2180173280126825,0.08681560560640224,0.04785874102413412,0.3881759150012309,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Chinstrap,delta_15n,53,full_average,,,,,,sex[Male]:year[2008],0.009243698015465887,0.06340209656459114,-0.11502441125113275,0.13351180728206452,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Chinstrap,delta_15n,53,full_average,,,,,,sex[Male]:year[2009],0.0047448186906759535,0.05269423852078483,-0.09853588881006231,0.10802552619141423,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Chinstrap,delta_15n,53,full_average,,,,,,size_score,4.492335007435958e-05,0.0007452928420948634,-0.0014158506204315726,0.0015056973205802918,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Chinstrap,delta_15n,53,full_average,,,,,,size_score:year[2008],-6.693846799585409e-07,0.0004002549204724178,-0.0007851690288058975,0.0007838302594459803,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Chinstrap,delta_15n,53,full_average,,,,,,size_score:year[2009],3.0786691618278384e-06,0.0004032032141256801,-0.0007871996305245051,0.0007933569688481608,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Chinstrap,delta_15n,53,full_average,,,,,,year[2008],0.3683957884546473,0.09875015102587704,0.17484549244392833,0.5619460844653663,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Chinstrap,delta_15n,53,full_average,,,,,,year[2009],0.5605853675805555,0.08822862740512423,0.38765725786651206,0.733513477294599,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Gentoo,delta_15n,111,null,25.14048198231271,70.44634751246012,2.381033772293723e-16,0.0,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Gentoo,delta_15n,111,sex,22.755783735682613,68.06164926583003,7.84505874839575e-16,0.039375976457724615,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Gentoo,delta_15n,111,size,18.20840348027505,63.51426901042245,7.621619725474547e-15,0.0779350109400867,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Gentoo,delta_15n,111,year,-39.71152979725427,5.594335732893136,0.028787303301381847,0.46311883375806795,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Gentoo,delta_15n,111,sex_year,-45.30586553014741,0.0,0.47205820742190097,0.4993133655100589,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Gentoo,delta_15n,111,size_year,-43.44157845411682,1.8642870760305854,0.1858535059135502,0.49083312863998985,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Gentoo,delta_15n,111,sex_x_year,-44.33315282751697,0.9727127026304387,0.2902509656337686,0.514669216857627,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
candidate,Gentoo,delta_15n,111,size_x_year,-39.26699400979142,6.03887152035599,0.023050017729389825,0.4920049233029212,,,,,,,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Gentoo,delta_15n,111,full_average,,,,,,Intercept,7.916128514423459,0.05688678304233587,7.804630419660481,8.027626609186438,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Gentoo,delta_15n,111,full_average,,,,,,sex[Male],0.10063173331500666,0.07954052079336768,-0.055267687439993995,0.2565311540700073,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Gentoo,delta_15n,111,full_average,,,,,,sex[Male]:year[2008],-0.046726086256238315,0.08842236987225613,-0.22003393120586032,0.1265817586933837,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Gentoo,delta_15n,111,full_average,,,,,,sex[Male]:year[2009],-0.015107810092890526,0.05537165959219603,-0.12363626289359475,0.0934206427078137,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Gentoo,delta_15n,111,full_average,,,,,,size_score,0.0014355639450213736,0.003180273551345824,-0.004797772215616441,0.007668900105659188,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Gentoo,delta_15n,111,full_average,,,,,,size_score:year[2008],-8.114788231449271e-05,0.001254467811631782,-0.0025399047931127855,0.0023776090284837997,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Gentoo,delta_15n,111,full_average,,,,,,size_score:year[2009],-6.852617285926771e-05,0.0011826374696297267,-0.002386495613333532,0.0022494432676149964,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Gentoo,delta_15n,111,full_average,,,,,,year[2008],0.4764425317585103,0.06625659248721902,0.346579610483561,0.6063054530334596,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
model_average,Gentoo,delta_15n,111,full_average,,,,,,year[2009],0.32009672385523835,0.05643130948807705,0.20949135725860735,0.43070209045186936,complete_clutch_only,endpoint_complete_cases,paper_pc1_unscaled,paper_aicc_candidates,paper_like_single_exclusion,analytic,baseline
